"filename", "language", "JavaScript", "HTML", "JSON", "XML", "CSS", "YAML", "Markdown", "Ignore", "Docker", "comment", "blank", "total"
"/Users/buudinhha/project2/public/plugins/jquery-scrollbar/js/jquery.scrollbar.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/buudinhha/project2/public/plugins/jquery-ui/js/jquery-ui.js", "JavaScript", 12299, 0, 0, 0, 0, 0, 0, 0, 0, 1534, 2317, 16150
"/Users/buudinhha/project2/public/plugins/jquery/js/jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/buudinhha/project2/routes/admin.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 87
"/Users/buudinhha/project2/routes/main-page.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 28
"/Users/buudinhha/project2/views/admin/dish-management.ejs", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 29, 15, 113
"/Users/buudinhha/project2/views/admin/edit-dish.ejs", "HTML", 0, 170, 0, 0, 0, 0, 0, 0, 0, 6, 15, 191
"/Users/buudinhha/project2/views/admin/includes/end.ejs", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"/Users/buudinhha/project2/views/admin/includes/filter.ejs", "HTML", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/buudinhha/project2/views/admin/includes/head.ejs", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 13, 6, 41
"/Users/buudinhha/project2/views/admin/includes/navigation.ejs", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 3, 36
"/Users/buudinhha/project2/views/admin/statistic.ejs", "HTML", 0, 57, 0, 0, 0, 0, 0, 0, 0, 8, 6, 71
"/Users/buudinhha/project2/views/error/404.ejs", "HTML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/buudinhha/project2/views/error/500.ejs", "HTML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/buudinhha/project2/views/error/includes/end.ejs", "HTML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/buudinhha/project2/views/error/includes/head.ejs", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/buudinhha/project2/views/main-page/dish-by-ingredient.ejs", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 6, 43
"/Users/buudinhha/project2/views/main-page/dish-detail.ejs", "HTML", 0, 47, 0, 0, 0, 0, 0, 0, 0, 16, 8, 71
"/Users/buudinhha/project2/views/main-page/favorite-dish.ejs", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 10, 8, 58
"/Users/buudinhha/project2/views/main-page/includes/end.ejs", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 0, 44, 15, 129
"/Users/buudinhha/project2/views/main-page/includes/filter.ejs", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 2, 31
"/Users/buudinhha/project2/views/main-page/includes/head.ejs", "HTML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 34, 7, 78
"/Users/buudinhha/project2/views/main-page/includes/pagination.ejs", "HTML", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"/Users/buudinhha/project2/views/main-page/main-page.ejs", "HTML", 0, 65, 0, 0, 0, 0, 0, 0, 0, 6, 3, 74
"/Users/buudinhha/project2/views/main-page/menu.ejs", "HTML", 0, 47, 0, 0, 0, 0, 0, 0, 0, 4, 10, 61
"Total", "-", 18606, 904, 3471, 4352, 20145, 8, 2, 28, 12, 3598, 6741, 57867
